other,hours,what are the university bookstore hours?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1001-what-are-the-university-bookstore-hours
other,customer service,i want to report a bookstore customer service complaint. who do i contact?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1002-i-want-to-report-a-bookstore-customer-service-complaint-who-do-i-contact
other,other,what is the bookstore return policy?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1003-what-is-the-bookstore-return-policy
tech store,hours,what are the university tech store hours?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1004-what-are-the-university-tech-store-hours
other,other,what is the educational discount for the tech store?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1006-what-is-the-educational-discount-for-the-tech-store
other,other,what insurance is required for camps & clinics involving minors?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1007-what-insurance-is-required-for-camps-clinics-involving-minors
other,other,does camp & clinic insurance cover overnight stays in the residential hall?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1011-does-camp-clinic-insurance-cover-overnight-stays-in-the-residential-hall
other,receive,how will i receive the certificate of insurance for a camp or clinic?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1012-how-will-i-receive-the-certificate-of-insurance-for-a-camp-or-clinic
other,other,how do i file a claim on camp & clinic insurance?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1013-how-do-i-file-a-claim-on-camp-clinic-insurance
business continuity,other,who should do business continuity planning?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1014-who-should-do-business-continuity-planning
department,other,should we appoint a departmental business continuity coordinator?,https://faq.utdallas.edu/en/knowledgebase/10-office-of-facilities-and-economic-development/docs/1015-should-we-appoint-a-departmental-business-continuity-coordinator
